STRUCTURE,STRUCTURE_ID,freq: Time frequency,unit: Unit of measure,mot_nrg: Motor energy,geo: Geopolitical entity (reporting),TIME_PERIOD: Time,OBS_VALUE: Observation value,OBS_FLAG: Observation status (Flag) V2 structure,CONF_STATUS: Confidentiality status (flag)
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ALT: Alternative energy,DE: Germany,2014,50482,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ALT: Alternative energy,DE: Germany,2015,56202,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ALT: Alternative energy,DE: Germany,2016,65703,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ALT: Alternative energy,DE: Germany,2017,33326,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ALT: Alternative energy,DE: Germany,2018,51711,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ALT: Alternative energy,DE: Germany,2019,78487,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ALT: Alternative energy,DE: Germany,2020,208271,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ALT: Alternative energy,DE: Germany,2021,370529,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ALT: Alternative energy,DE: Germany,2022,488321,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,ALT: Alternative energy,DE: Germany,2023,539070,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE: Diesel,DE: Germany,2014,1452565,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE: Diesel,DE: Germany,2015,1538451,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE: Diesel,DE: Germany,2016,1539596,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE: Diesel,DE: Germany,2017,1336195,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE: Diesel,DE: Germany,2018,1129025,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE: Diesel,DE: Germany,2019,1230267,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE: Diesel,DE: Germany,2020,949336,,
dataflow,ESTAT:ROAD_EQR_CARPDA(1.0),A: Annual,NR: Number,DIE: Diesel,DE: Germany,2021,691261,,
